tableA_id,tableA_Song_Name,tableA_Artist_Name,tableA_Album_Name,tableA_Genre,tableA_Price,tableA_CopyRight,tableA_Time,tableA_Released,tableB_id,tableB_Song_Name,tableB_Artist_Name,tableB_Album_Name,tableB_Genre,tableB_Price,tableB_CopyRight,tableB_Time,tableB_Released,label
3565,Club Ca n't Handle Me ( Ridney Remix ),Flo Rida,Club Ca n't Handle Me ( feat . David Guetta ) [ From `` Step Up 3D '' ] { The Remixes } - EP,"Dance , Music",$ 1.29,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,6:10,17-Aug-10,3859,Father Christmas,Wretch 32 Feat . Anne-Marie & PRGRSHN,Alt-Christmas,Rap & Hip-Hop,$ 0.99,Ministry of Sound Recordings Ltd,3:39,nan,0
5861,Tonight I 'm Getting Over You,Carly Rae Jepsen,Kiss,"Pop , Music , Rock , Vocal , Dance , Teen Pop , World",$ 1.29,‰ ãÑ 2012 School Boy/Interscope Records,3:39,18-Sep-12,10137,But Beautiful,Tony Bennett and Lady Gaga,Cheek To Cheek ( Deluxe ),Jazz,$ 1.29,"( C ) 2014 Columbia Records , a division of Sony Music Entertainment / Interscope Records , a division of UMG Recordings , Inc.",4:04,"September 23 , 2014",0
147,Credit,Meghan Trainor,Title ( Deluxe ),"Pop , Music , Rock , Pop/Rock , Dance , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",2:51,9-Jan-15,50730,Credit,Meghan Trainor,Title ( Deluxe ),Pop,$ 1.29,"2011 What A Music Ltd , licence exclusive Parlophone Music France",2:51,"January 9 , 2015",1
4599,You 're Not My God,Keith Urban,Golden Road,"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,2002 Capitol Records Nashville,8:31,4-Oct-02,37470,Killa Cam / Roll That Skit ( Album Version ( Edited ) ) [ Clean ],Cam ` Ron,Purple Haze ( Edited ),"Gangsta & Hardcore , Rap & Hip-Hop , East Coast",$ 1.29,"( C ) 2003 Roc-A-Fella Records , LLC",4:24,"December 7 , 2004",0
5822,Drummer Boy ( feat . Busta Rhymes ),Justin Bieber,Under the Mistletoe,"Holiday , Music , Christmas , Pop , Teen Pop , Rock",$ 1.29,‰ ãÑ 2011 The Island Def Jam Music Group,3:45,1-Nov-11,38325,End Credits,Christophe Beck and Leo Birenberg,Red Army ( Original Soundtrack Album ) [ + digital booklet ],Soundtracks,$ 0.99,"2015 JCB Music Inc. , under exclusive license to Milan Entertainment Inc.",1:28,"January 20 , 2015",0
1136,Truce,twenty one pilots,Vessel,"Alternative , Music , Rock , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2012 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States .,2:22,4-Jan-13,51906,Walk On ( Radio Edit ),U2,U218 Singles ( Deluxe Version ),Rock,$ 1.29,( C ) 2006 Universal-Island Records Ltd.,4:26,"November 20 , 2006",0
770,Nothing Like Us ( Bonus Track ),Justin Bieber,Believe Acoustic,"Pop , Music , Rock , Vocal , Teen Pop",$ 1.29,2013 The Island Def Jam Music Group,3:19,29-Jan-13,43017,The Sanctuary River,Caribou,Suite for Dolly Sods,"Jazz , Miscellaneous",$ 0.99,2014 www.Synthology.com,6:12,"March 1 , 2014",0
435,Closer ( feat . Mike Posner ),Nick Jonas,Nick Jonas ( Deluxe Version ),"Pop , Music , Teen Pop , Pop/Rock , Rock",$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",3:48,10-Nov-14,25048,A Better Rain,George Strait,It Just Comes Natural,Country,$ 0.99,"( C ) 2006 MCA Nashville , a Division of UMG Recordings , Inc.",3:37,"October 3 , 2006",0
2788,The Heavy and the Slow ( Live ),Andy Grammer,Live from L.A.,"Pop , Music , Rock",$ 1.99,2012 S-Curve Records,4:31,13-Mar-12,45122,Until The End Of The World,U2,The Best Of 1990-2000,Rock,$ 1.29,( C ) 2002 Universal International Music B.V.,4:40,"November 11 , 2002",0
2357,"No Shoes , No Shirt , No Problems",Kenny Chesney,"No Shoes , No Shirt , No Problems ( Deluxe Version )","Country , Music , Contemporary Country , Urban Cowboy",$ 1.99,2007 SONY BMG MUSIC ENTERTAINMENT,3:29,23-Apr-02,2296,Name,Pickin ' On Series,A Boy Named Blue - The Bluegrass Tribute to the Goo Goo Dolls,Rock,$ 0.99,( c ) 2009 CMH Records,3:43,"August 3 , 2009",0
