tableA_id,tableA_name,tableA_phone_number,tableA_street,tableB_id,tableB_name,tableB_phone_number,tableB_street,label
224,aqua,415/956-9662,nan,1131,judson grill,212/582-5252,nan,0
294,gramercy tavern,212/477-0777,nan,541,nan,nan,2090 broadway,0
24,nan,nan,6703 melrose ave.,1996,main course  the,310-475-7564,nan,0
25,nan,nan,95 ave. a at 6th st.,938,le montrachet bistro,702-732-5651,nan,0
250,cafe  ritz-carlton  buckhead,404/237-2700,nan,1329,gilliland's,310/392-3901,nan,0
70,nan,nan,20 e. 76th st.,1361,nan,nan,432 powell st.,0
252,nan,nan,747 9th ave.  between 50th and 51st sts.,598,nan,nan,10506 little santa monica blvd.,0
75,nan,nan,2245 e. flamingo rd.,672,nan,nan,551 5th ave. at 45th st.,0
71,cafe lalo,212/496-6031,nan,542,la caridad,212-874-2780,nan,0
53,nan,nan,12969 ventura blvd.,1601,nan,nan,10516 w. pico blvd.,0
229,union square cafe,212/243-4020,nan,760,nan,nan,423 amsterdam ave.  between 80th and 81st sts.,0
59,lutece,212/752-2225,nan,454,lutece,212-752-2225,nan,1
43,toulouse,404/351-9533,nan,1622,toulouse,404-351-9533,nan,1
221,21 club,212/582-7200,nan,507,patina,213-467-1108,nan,0
303,nan,nan,35 w. 64th st.,1990,joe's,310-399-5811,nan,0
109,masa's,415/989-7154,nan,506,nuevo laredo cantina,404-352-9009,nan,0
107,felidia,212/758-1479,nan,2241,atlanta fish market,404/262-3165,nan,0
196,carmine's,212/362-2200,nan,232,aqua,415-956-9662,nan,0
139,nan,nan,249 e. 50th st.,506,nuevo laredo cantina,404-352-9009,nan,0
307,nan,nan,21 w. 52nd st.,1229,nan,nan,5937 geary blvd.,0
226,nan,nan,532 columbus ave.,98,thailand restaurant,212-349-3132,nan,0
84,nan,nan,2637 peachtree rd.  peachtree house condominium,1831,felix,212/431-0021,nan,0
150,la cote basque,212/688-6525,nan,1207,nan,nan,3108 16th st.,0
132,cafe des artistes,212/877-3500,nan,1110,sa tsu ki,404/325-5285,nan,0
164,yujean kang's gourmet chinese cuisine,818/585-0855,nan,171,nan,nan,market and new montgomery sts.,0
284,aquavit,212/307-7311,nan,1239,nan,nan,34 e. 61st st.,0
115,bacchanalia,404/365-0410,nan,849,nan,nan,310 n. larchmont blvd.,0
141,fringale,415/543-0573,nan,2032,nan,nan,5322 geary blvd.,0
84,nan,nan,2637 peachtree rd.  peachtree house condominium,843,french bistro,nan,nan,0
47,nan,nan,3073 piedmont road,85,ciboulette restaurant,404-874-7600,nan,0
310,art's delicatessen,818/762-1221,nan,1188,deacon burton's soulfood restaurant,404-523-1929,nan,0
324,la folie,415/776-5577,nan,2247,afghan kebab house,212-307-1612,nan,0
92,cafe bizou,818/788-3536,nan,1820,nan,nan,161 sutter st.,0
47,nan,nan,3073 piedmont road,1287,nan,nan,2182 broadway  between 77th and 78th sts.,0
331,nan,nan,3434 peachtree rd.,2125,nan,nan,4837 old national hwy.,0
220,nan,nan,3000 w. paradise rd.,974,brent's deli,818-886-5679,nan,0
216,chinois on main,310/392-9025,nan,861,gladstone's,310/454-3474,nan,0
331,nan,nan,3434 peachtree rd.,2171,nan,nan,386 3rd ave.  between 27th and 28th sts.,0
115,bacchanalia,404/365-0410,nan,1679,rubin's red hots,818-905-6515,nan,0
147,palace court,702/731-7547,nan,2003,palace court,702-731-7110,nan,1
62,nan,nan,181 peachtree st.,811,nan,nan,nan,0
1,la grotta,404/231-1368,nan,277,nan,nan,30869 thousand oaks blvd.,0
307,nan,nan,21 w. 52nd st.,31,kyo-ya. sheraton palace hotel,415/546-5000,nan,0
27,rose pistola,415/399-0499,nan,89,patsy's pizza,718-858-4300,nan,0
248,nan,nan,126 clement st.,1314,nan,nan,128 e. fremont st.,0
96,nan,nan,3201 fillmore st.,822,nan,nan,1198 pch,0
337,nan,nan,854 7th ave.  between 54th and 55th sts.,331,cafe bizou,818-788-3536,nan,0
57,nan,nan,12224 ventura blvd.,1140,original pantry bakery,213-627-6879,nan,0
115,bacchanalia,404/365-0410,nan,189,nan,nan,246 mcallister st.,0
59,lutece,212/752-2225,nan,2209,des alpes,415/788-9900,nan,0
126,nan,nan,201 e. 49th st.,37,italian,nan,nan,0
59,lutece,212/752-2225,nan,97,nan,nan,385 broome st. at mulberry,0
92,cafe bizou,818/788-3536,nan,331,cafe bizou,818-788-3536,nan,1
234,plumpjack cafe,415/563-4755,nan,1234,nan,nan,144 second ave.,0
98,valentino,310/829-4313,nan,2030,au mandarin,212/385-0313,nan,0
104,tavern on the green,212/873-3200,nan,1462,tavern on the green,212-873-3200,nan,1
261,nan,nan,3130 piedmont road,1798,nan,nan,156 second ave.,0
56,abruzzi,404/261-8186,nan,1875,lemongrass grill,718-399-7100,nan,0
288,nan,nan,200 e. fremont st.,685,georgia grille,404-352-3517,nan,0
289,nan,nan,2930 beverly glen circle,1607,nan,nan,519 s. fairfax ave.,0
15,nan,nan,160 central park s,1329,gilliland's,310/392-3901,nan,0
15,nan,nan,160 central park s,1927,new york kom tang soot bul house,212/ 947-8482,nan,0
64,mary mac's tea room,404/876-1800,nan,619,mary mac's tea room,404-876-1800,nan,1
179,bone's,404/237-2663,nan,1381,les celebrites,212-484-5113,nan,0
337,nan,nan,854 7th ave.  between 54th and 55th sts.,773,cafe des artistes,212-877-3500,nan,0
42,las vegas,nan,nan,1206,nan,nan,1842 e. first,0
322,daniel,212/288-0033,nan,1525,john o'groats,310-204-0692,nan,0
24,nan,nan,6703 melrose ave.,1869,jimmy's,310/552-2394,nan,0
104,tavern on the green,212/873-3200,nan,1805,viva mercado's,702/871-8826,nan,0
236,nan,nan,490 e. paces ferry rd.,1800,nan,nan,414 n. beverly dr.,0
25,nan,nan,95 ave. a at 6th st.,558,nan,nan,2317 chestnut st.,0
250,cafe  ritz-carlton  buckhead,404/237-2700,nan,484,nan,nan,1722 sacramento st.,0
312,nan,nan,648 bush st.,1703,nan,nan,222 w. 79th st.,0
164,yujean kang's gourmet chinese cuisine,818/585-0855,nan,1291,nan,nan,23725 w. malibu rd.,0
158,campanile,213/938-1447,nan,223,tommy's,213-389-9060,nan,0
251,nan,nan,816 folsom st.,1135,ti couz,415-252-7373,nan,0
319,sign of the dove,212/861-8080,nan,2005,nan,nan,205 e. 45th st.,0
120,nan,nan,1114 horn ave.,169,agrotikon,212/473-2602,nan,0
326,nan,nan,1001 n. alameda st.,468,nan,nan,331 w. fourth st.,0
260,shun lee west,212/371-8844,nan,26,harris',415/673-1888,nan,0
267,nan,nan,5955 melrose ave.,2028,imperial fez,404/351-0870,nan,0
18,nan,nan,8284 melrose ave.,1448,manhattan cafe,212/888-6556,nan,0
336,locanda veneta,310/274-1893,nan,1267,nan,nan,1550 california st.,0
11,los angeles,nan,nan,1003,nan,nan,138 lafayette st.  between canal and howard sts.,0
38,nan,nan,152 w. 44th st.,1736,cafe pierre,212/940-8185,nan,0
86,nan,nan,30 rockefeller plaza,724,bally's big kitchen,702/739-4111,nan,0
221,21 club,212/582-7200,nan,1933,smith & wollensky,212-753-1530,nan,0
57,nan,nan,12224 ventura blvd.,1509,nan,nan,1248 clairmont rd.,0
117,nan,nan,55 e. 54th st.,466,san domenico,212-265-5959,nan,0
81,jo jo,212/223-5656,nan,1901,emily's,212/996-1212,nan,0
123,nan,nan,b peachtree rd.,1350,coffeehouses,nan,nan,0
34,hotel bel-air,310/472-1211,nan,797,bel-air hotel,310-472-1211,nan,1
15,nan,nan,160 central park s,1975,nan,nan,303 peachtree st. ne,0
65,granita,310/456-0488,nan,506,nuevo laredo cantina,404-352-9009,nan,0
208,le bernardin,212/489-1515,nan,2006,red tulip,212/734-4893,nan,0
59,lutece,212/752-2225,nan,2201,bardelli's,415/982-0243,nan,0
265,khan toke thai house,415/668-6654,nan,1128,la mediterranee,415-431-7210,nan,0
226,nan,nan,532 columbus ave.,1419,nan,nan,1772 market st.,0
143,la caravelle,212/586-4252,nan,1695,triangolo,212/472-4488,nan,0
257,carnegie deli,212/757-2245,nan,2104,carnegie deli,212-757-2245,nan,1
188,nan,nan,41 14th st.,1104,nan,nan,1521 hyde st.,0
122,the palm,310/550-8811,nan,437,apple pan  the,310-475-3585,nan,0
232,gotham bar & grill,212/620-4020,nan,1966,luna si,404/355-5993,nan,0
