tableA_id,tableA_https://www.scads.de/movieBenchmark/ontology/title,tableA_https://www.scads.de/movieBenchmark/ontology/name,tableA_http://dbpedia.org/ontology/episodeNumber,tableA_http://dbpedia.org/ontology/seasonNumber,tableA_http://dbpedia.org/ontology/deathYear,tableA_http://dbpedia.org/ontology/birthYear,tableA_https://www.scads.de/movieBenchmark/ontology/endYear,tableA_https://www.scads.de/movieBenchmark/ontology/startYear,tableA_https://www.scads.de/movieBenchmark/ontology/genre_list,tableA_https://www.scads.de/movieBenchmark/ontology/primaryProfessions,tableA_https://www.scads.de/movieBenchmark/ontology/runtimeMinutes,tableB_id,tableB_https://www.scads.de/movieBenchmark/ontology/title,tableB_https://www.scads.de/movieBenchmark/ontology/name,tableB_http://dbpedia.org/ontology/abstract,tableB_http://dbpedia.org/ontology/episodeNumber,tableB_http://dbpedia.org/ontology/seasonNumber,tableB_http://dbpedia.org/ontology/numberOfSeasons,tableB_http://dbpedia.org/ontology/numberOfEpisodes,tableB_http://dbpedia.org/ontology/birthDate,tableB_http://dbpedia.org/ontology/releaseDate,tableB_https://www.scads.de/movieBenchmark/ontology/last_air_date,tableB_https://www.scads.de/movieBenchmark/ontology/release_year,tableB_http://dbpedia.org/ontology/runtime,tableB_https://www.scads.de/movieBenchmark/ontology/genre_list,tableB_https://www.scads.de/movieBenchmark/ontology/origin_country,label
1732,The Things I Cannot Change,nan,nan,nan,nan,nan,nan,1967-01-01,Documentary,nan,55.0,4515,The Things I Cannot Change,nan,"'''This feature documentary is considered to be the forerunner of the NFB's Challenge for Change Program. The film offers in inside look at 3 weeks in the life of the Bailey family. Trouble with the police, begging for stale bread, and the birth of another child are just some of the issues they face. Through it all, the father tries to explain his family's predicament. Although filmed in Montreal, the film offers an anatomy of poverty as it occurs throughout North America.'' - NFB",nan,nan,nan,nan,nan,1967-01-01,nan,1967-01-01,55,Documentary,nan,1
332,nan,John Kemeny,nan,nan,2012-01-01,1925-01-01,nan,nan,nan,"producer,editor,director",nan,4942,nan,Robert Butler,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1830,nan,Stanley Clements,nan,nan,1981-01-01,1926-01-01,nan,nan,nan,"actor,writer",nan,7,Royal Partners: Part 1,nan,nan,33.0,4.0,nan,nan,nan,1957-05-19,nan,1957-01-01,nan,nan,nan,0
1196,Too Cool for School,nan,13.0,3.0,nan,nan,nan,1999-01-01,"Animation,Comedy,Fantasy",nan,21.0,2930,nan,Ester Namdar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
996,nan,Norma Shattue,nan,nan,nan,1954-01-01,nan,nan,nan,actress,nan,1919,Turkey,nan,nan,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
741,nan,Rolf Bayer,nan,nan,nan,1926-01-01,nan,nan,nan,"writer,director,actor",nan,5731,nan,Sait Dinek,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
478,nan,Malcolm Atterbury,nan,nan,1992-01-01,1907-01-01,nan,nan,nan,actor,nan,2899,Together,nan,"'Love has probably never been so commercialized and falsely portrayed as today. It became a commodity that everybody can afford. However, very often the real picture is something completely different.This film tells about this different picture.The film ''Together'' tells about love relationships that encounter difficulties. Those are real difficulties that test not only the relationship but very often also the destinies of the persons involved.",nan,nan,nan,nan,nan,2009-11-20,nan,2009-01-01,87,Documentary,nan,0
2560,nan,Neil Mogridge,nan,nan,nan,nan,nan,nan,nan,nan,nan,2010,Hunted,nan,'A hunter tells the story how he hunted in the amazon forest to the brink of extinction.,11.0,2.0,nan,nan,nan,1994-11-19,nan,1994-01-01,nan,nan,nan,0
3796,Different Dreams,nan,nan,nan,nan,nan,nan,2019-01-01,Drama,nan,nan,4108,nan,Relangi Venkata Ramaiah,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1865,The Derelict,nan,5.0,1.0,nan,nan,nan,1959-01-01,Adventure,nan,60.0,5046,Episode 2,nan,Sara is a pupil at Miss Minchin's seminary in London. Her father has returned to India.,2.0,1.0,nan,nan,nan,1973-02-25,nan,1973-01-01,nan,nan,nan,0
4211,nan,Jay Tobias,nan,nan,nan,nan,nan,nan,nan,"assistant_director,director,producer",nan,840,nan,Anders,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
849,nan,Annie Fargue,nan,nan,2011-01-01,1934-01-01,nan,nan,nan,"actress,producer",nan,1795,Episode 5,nan,nan,5.0,1.0,nan,nan,nan,1980-07-21,nan,1980-01-01,nan,nan,nan,0
472,nan,Gregg Vanzo,nan,nan,nan,1961-01-01,nan,nan,nan,"animation_department,producer,director",nan,5108,nan,Keith Drinkel,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1205,"Oh, My Aching Heart",nan,33.0,1.0,nan,nan,nan,1954-01-01,Drama,nan,30.0,2174,Episode 9,nan,nan,9.0,2.0,nan,nan,nan,2018-09-08,nan,2018-01-01,nan,nan,nan,0
2266,nan,Anna Campeau,nan,nan,nan,nan,nan,nan,nan,"producer,miscellaneous,actress",nan,446,Concrete Finisher,nan,"Mike creates some concrete counter-tops and fire pits in Moss Landing, California and then reminisces about the scariest job he's ever done.",5.0,6.0,nan,nan,nan,2010-02-02,nan,2010-01-01,nan,nan,nan,0
3239,nan,Frederick Herrick,nan,nan,nan,nan,nan,nan,nan,actor,nan,3326,Bruce Willis,nan,"Zach sits down with Bruce Willis; one of the stars of the new movie Red, to talk about the 80s and some of the prestigious awards he has been awarded.",11.0,1.0,nan,nan,nan,2010-10-11,nan,2010-01-01,nan,nan,nan,0
1541,nan,Paul Burke,nan,nan,2009-01-01,1926-01-01,nan,nan,nan,"actor,soundtrack",nan,233,nan,Akihisa Takano,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1789,Diana!,nan,nan,nan,nan,nan,nan,1971-01-01,Music,nan,60.0,1280,Shockers:  Parent's Night,nan,"Horror/Thriller about a bullied schoolboy who is pushed over the top by his oppressors, and his mother's more-than-rash reaction to her son's death.",nan,nan,nan,nan,nan,2000-01-01,nan,2000-01-01,48,Thriller,nan,0
2163,nan,Nathan Willcocks,nan,nan,nan,nan,nan,nan,nan,"actor,director,producer",nan,3651,nan,Danny Thomas,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2480,nan,Nick Muncey,nan,nan,nan,nan,nan,nan,nan,actor,nan,4608,nan,Nick Muncey,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
4692,nan,Lois Vossen,nan,nan,nan,nan,nan,nan,nan,"producer,writer,miscellaneous",nan,899,nan,MTV Animation,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
