tableA_id,tableA_title,tableA_name,tableA_episodeNumber,tableA_seasonNumber,tableA_deathYear,tableA_birthYear,tableA_endYear,tableA_startYear,tableA_genre_list,tableA_primaryProfessions,tableA_runtimeMinutes,tableB_id,tableB_title,tableB_name,tableB_abstract,tableB_episodeNumber,tableB_seasonNumber,tableB_releaseDate,tableB_job,label
3011,nan,BarBara Luna,nan,nan,nan,1937-01-01,nan,nan,nan,"actress,producer,soundtrack",nan,3580,nan,Harry Murphy,nan,nan,nan,nan,guestStars,0
2619,nan,Lisa Gaye,nan,nan,2016-01-01,1935-01-01,nan,nan,nan,"actress,soundtrack",nan,1091,nan,Tamika Katon-Donega,nan,nan,nan,nan,guestStars,0
2064,nan,Cyril Cusack,nan,nan,1993-01-01,1910-01-01,nan,nan,nan,actor,nan,5899,nan,Fernando Fern?n G?mez,nan,nan,nan,nan,actor,0
3823,Web of Fear,nan,20.0,1.0,nan,nan,nan,1963-01-01,"Drama,Sport,Western",nan,nan,2129,Torn,nan,"A call to return to Aydindril and a desire to stay with Richard results in two Kahlans, one representing Kahlan's rational mind and the other her irrational heart. Richard realizes the mistake and must reconcile the elements of Kahlan's soul before Zedd, captured by the rational Kahlan, is put to death. ",11.0,2.0,2010-02-13,nan,0
3539,Kid Stuff,nan,8.0,1.0,nan,nan,nan,1953-01-01,Drama,nan,30.0,4358,nan,Mary L. Watson,nan,nan,nan,nan,guestStars,0
3223,nan,Coulter Irwin,nan,nan,1998-01-01,1918-01-01,nan,nan,nan,actor,nan,1239,nan,Raja Deka,nan,nan,nan,nan,guestStars,0
811,Dateline: Korea,nan,28.0,2.0,nan,nan,nan,1955-01-01,Drama,nan,30.0,1602,nan,Brad Rowe,nan,nan,nan,nan,guestStars,0
3061,All Through the House,nan,8.0,3.0,nan,nan,nan,1994-01-01,"Crime,Drama,Mystery",nan,nan,1101,nan,Armando Benitez,nan,nan,nan,nan,guestStars,0
4833,nan,Debbie Sarjeant,nan,nan,nan,nan,nan,nan,nan,"producer,production_manager,camera_department",nan,5067,nan,Debbie Sarjeant,nan,nan,nan,nan,writers,1
1505,nan,Cheryl Callaway,nan,nan,nan,1946-01-01,nan,nan,nan,actress,nan,4019,nan,Paleface,nan,nan,nan,nan,guestStars,0
2228,nan,Willard Parker,nan,nan,1996-01-01,1912-01-01,nan,nan,nan,actor,nan,4597,Hitagi End - Part 2,nan,"Kaiki decides to help Hitagi for a mere ¥100,000, much to her surprise. They leave Okinawa on separate flights to not arouse any suspicion. Posing as the father of one of Nadeko's classmates, Kaiki infiltrates her home to search for any clues. Kaiki discovers several suspicious details, such as the fact that Nadeko had only photos of herself without any friends and that her parents, apparently not curious as to the cause of her disappearance, never opened Nadeko's closet as she requested. Kaiki determines that she was a very spoiled child. After a brief phone conversation with Hitagi, Kaiki decides to visit the Polar Snake Shrine to learn more about Nadeko. Immediately upon Kaiki making a donation at the shrine, a mysteriously cheerful Nadeko appears. Apparently, Kaiki is her first visitor, despite Nadeko's best efforts at renovating the shrine. Kaiki asks her several questions about her relationship with Koyomi, confirming her twisted conception of unrequited love and that she still means to kill Koyomi and Hitagi. Kaiki takes his leave after giving Nadeko some yarn for cat's cradle to occupy her time, promising to return before she perfects any patterns. ",19.0,3.0,2013-12-01,nan,0
3800,nan,Joachim Fuchsberger,nan,nan,2014-01-01,1927-01-01,nan,nan,nan,"actor,soundtrack,director",nan,5961,nan,Sal S. Koussa,nan,nan,nan,nan,guestStars,0
1746,nan,Zoran Sruk,nan,nan,nan,nan,nan,nan,nan,actor,nan,3699,Thor,nan,"Jeff leaves his wife Susie, and worries that his private life will become public in court. Jeff's concern affects Larry, who becomes obsessed with showing Cheryl how normal he is. Meanwhile, Larry seeks revenge on pro wrestler Thor Olson, who he believes slashed his tire after an argument on the road.",2.0,2.0,2001-09-30,nan,0
5079,nan,Judy Short,nan,nan,nan,nan,nan,nan,nan,actress,nan,5615,nan,Carmen Mathews,nan,nan,nan,nan,guestStars,0
