tableA_id,tableA_title,tableA_name,tableA_abstract,tableA_episodeNumber,tableA_seasonNumber,tableA_numberOfSeasons,tableA_numberOfEpisodes,tableA_birthDate,tableA_releaseDate,tableA_last_air_date,tableA_release_year,tableA_runtime,tableA_genre_list,tableA_origin_country,tableB_id,tableB_title,tableB_name,tableB_abstract,tableB_episodeNumber,tableB_seasonNumber,tableB_releaseDate,tableB_job,label
4060,nan,Leonid Kuravlyov,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6718,nan,Paul Haddad,nan,nan,nan,nan,guestStars,0
5497,nan,Rick Gilbert,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4101,nan,Jewel Staite,nan,nan,nan,nan,actor,0
3290,nan,Jay Chandrasekhar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5336,Ougi Dark - Part 2,nan,"'To stop Ougi from meddling further, Koyomi has a final confrontation with her. ",6.0,5.0,2017-08-13,nan,0
6031,nan,Fran?ois L?onard,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3490,nan,Shana Goldberg-Meehan,nan,nan,nan,nan,writers,0
2748,Half a Pair,nan,Monty wonders if there are any uses for a half of a pair of something.,9.0,1.0,nan,nan,nan,2016-06-30,nan,2016-01-01,nan,nan,nan,3886,Half a Pair,nan,Monty wonders if there are any uses for a half of a pair of something.,9.0,1.0,2016-06-30,nan,1
994,Phil Spector,nan,"LA homicide investigator Richard Tomlin tries to uncover the bizarre truth behind the death of Lana Clarkson, an actress found dead inside Phil Spector's home on Feb. 3, 2003.",3.0,1.0,nan,nan,nan,2016-09-24,nan,2016-01-01,nan,nan,nan,5495,nan,Anna Kashfi,nan,nan,nan,nan,guestStars,0
2322,nan,Raven Goodwin,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2474,nan,Reg E. Cathey,nan,nan,nan,nan,guestStars,0
5522,nan,Ivica Mati?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1988,Prvn? l?ska,nan,"Franti?ek p?ich?z? do rodiny Butteauov?ch, aby vyu?oval jejich n?mou dceru Paulu h?e na housle. P?i tom se do n? zamiluje. V hodin?ch matematiky profesora Vydry pak ned?v? pozor. U Butteauov?ch se sezn?m? s V?clavem Th?mem a sp??tel? se s n?m. S p??telem a kolegou ze studi? ?ebesti?nem Hn?vkovsk?m Franti?ek chod? do divadla: do Nosticova na Figarovu svatbu nebo do Boudy na Ko?sk?m trhu.",3.0,1.0,nan,nan,0
5898,Champagne for One (1),nan,"Archie gets a phone call from Dinky Byne, who is expected at a dinner party that night, given by his aunt in honor of four young, unwed mothers. These women have recently left Grantham House, a home where expectant unwed mothers receive support, room and board in the months prior to giving birth. Dinky wants to beg off the dinner, saying he has a bad cold, and asks Archie to fill in for him. Archie agrees and, chatting with Rose Tuttle after dinner, learns that Faith Usher carries around a vial of cyanide. Apparently Faith wants to have it handy should she ever decide to commit suicide. Rose is worried, and Archie reassures her by promising that he'll see to it that nothing bad happens.",3.0,1.0,nan,nan,nan,2001-04-29,nan,2001-01-01,nan,nan,nan,4796,Champagne for One (1),nan,"Archie is standing in for a friend at a party for unwed mothers when one of the guests drops dead. Through she had often talked about killing herself and was known to carry cyanide, Archie does not believe her death was suicide. A little digging uncovers the connection that proves his hunch, and Nero helps bring the killer to justice.",3.0,1.0,2001-04-29,nan,1
1277,Steam Ship Cleaner,nan,Mike heads off to San Diego to learn the dirty job of hydroseeding. He then reads a viewer's letter and shows us never before seen footage from a previous episode. Finally Mike gets dirty cleaning up a 100 year old steam yacht.,8.0,3.0,nan,nan,nan,2007-03-13,nan,2007-01-01,nan,nan,nan,5560,Steam Ship Cleaner,nan,'Mike heads off to San Diego to learn the dirty job of hydroseeding. He then reads a viewer's letter and shows us never before seen footage from a previous episode. Finally Mike gets dirty cleaning up a 100 year old steam yacht.,8.0,3.0,2007-03-13,nan,1
5392,"Kellerman, P.I. (2)",nan,"Debbie Straub signs the plea agreement, pointing to Craig as the killer of the baby. Falsone wants more time to work on the case. Danvers reminds Kellerman there was a time when the truth mattered more than his paycheck. Gharty goes off when Sheppard and MGee ask to many questions about Kellerman's leaving of the homicide unit. Kellerman appears to begin doing the right thing, but doesn't pass anything on to anyone who might be able to do anything with it. Craig believes that Debbie isn't going to let him down and he has no plans to testify on his own behalf. Ballard searches for a dinner date when Falsone leaves a message he won't be joining her. When she sees him in the Waterfront later, she lets him know how she feels about his method of communication. The case goes to trial, Debbie testifies that Craig killed the baby; with no evidence to the contrary, the jury finds Craig guilty. Falsone talks with Craig about what really happened; however, it is all to no avail as the following m",9.0,7.0,nan,nan,nan,1998-12-11,nan,1998-01-01,nan,nan,nan,4211,S-T-- STAGE MOM,nan,"Seeing the kids believe she exists to solely serve at their pleasure, Maya takes the stage to prove she has so much more to offer. Kenneth finds JJ a job, and JJ finds an unlikely rival. Ray goes undercover informing parents on his classmates’ social lives and gets in too deep.",5.0,3.0,2018-11-09,nan,0
2045,nan,Jean Chatenet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3162,nan,Prudence Barry,nan,nan,nan,nan,guestStars,0
1132,nan,Melissa James Gibson,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1544,nan,Troy Paff,nan,nan,nan,nan,guestStars,0
4891,nan,Sean Bean,"'Shaun Mark ''Sean'' Bean (born 17 April 1959) is an English film and stage actor. Bean is best known for starring roles in the films Lord of the Rings: The Fellowship of the Ring, GoldenEye, Patriot Games, Troy, National Treasure and Silent Hill, as well as the television series Sharpe. Bean has also acted in a number of television productions, most recent being HBO's Game of Thrones, as well as performing voice work for computer games and television adverts.Description above from the Wikipedia article Sean Bean, licensed under CC-BY-SA, full list of contributors on Wikipedia.",nan,nan,nan,nan,1959-04-17,nan,nan,nan,nan,nan,nan,5440,The Kill Point,nan,"'Emmy Award-winning actor and Golden Globe nominee John Leguizamo and Donnie Wahlberg star in Spike TV's new original scripted series, THE KILL POINT, an eight-hour event focusing on two men as they square off during a bank heist gone horribly wrong and the hostage negotiations that ensue. John Leguizamo is ''Mr. Wolf,'' the leader of a small group of military veterans who set out to rob a major bank in Pittsburgh. When things go awry, they're forced to take more than a dozen hostages from all walks of life, including a wealthy and powerful businessman's daughter. Suddenly, ''Mr. Wolf'' finds himself battling the police, the hostages and members of his own team while at the same time, fighting his own personal demons from the Iraq war and from his own war at home. Will he be sharp enough to hold it all together or lose control of the situation? And will he find redemption before it's too late -- and does he even care to? On the opposite side of the perimeter is ''Horst Cali,'' the Pittsburgh Police Department Hostage Negotiator, played by Donnie Wahlberg, who must go toe-to-toe with ''Mr. Wolf.'' ''Cali'' must use his wit and negotiating skills, while managing his own personal issues, to manipulate the situation and convince Wolf to free the hostages before the FBI takes control, or worse. With time of the essence and the uncertainty of the unfolding events, both men need to remain resourceful and collected or risk losing lives. THE KILL POINT reveals how the hostage takers leverage their situation and how the negotiator tries to unravel their plans. Which man will blink? Who will outsmart the other? Who will survive? It's a dangerous game of chess played out with human lives at stake.",nan,nan,2007-07-22,nan,0
5195,nan,Craig Ring,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7052,nan,Manuel Depina,nan,nan,nan,nan,guestStars,0
3836,Oliver Cromwell,nan,"'Join Mark Steel as he charts Cromwell’s course through Britishhistory; his election and resignation from parliament, the formationof his New Model Army, the overthrow and subsequent execution of theKing, Charles I, the monumental shift of power from monarchy toparliament, the abolition of the House of Lords right through to themassacre at Drogheda. Oh, and the introduction of the first everpineapple to Britain.",1.0,3.0,nan,nan,nan,2006-02-23,nan,2006-01-01,nan,nan,nan,7172,nan,Michael Angelo,nan,nan,nan,nan,guestStars,0
5163,Myths & Monsters,nan,This documentary series tells the stories that have gripped imaginations for centuries and reveals the fascinating and unexpected history behind them.,nan,nan,1.0,6.0,nan,2017-12-23,2017-12-23,2017-01-01,45, Sci-Fi & Fantasy,GB,4684,Myths & Monsters,nan,This documentary series tells the stories that have gripped imaginations for centuries and reveals the fascinating and unexpected history behind them. It takes us to the mythic landscapes of Europe to explore some of most enduring legends produced by European culture.,nan,nan,2017-12-23,nan,1
4996,Episode 2,nan,nan,2.0,1.0,nan,nan,nan,2015-07-07,nan,2015-01-01,nan,nan,nan,3886,Half a Pair,nan,Monty wonders if there are any uses for a half of a pair of something.,9.0,1.0,2016-06-30,nan,0
1529,Follow the Rules,nan,Monty tries to change the rules of a board game when Jimmy Jones keeps beating him.,8.0,1.0,nan,nan,nan,2016-06-29,nan,2016-01-01,nan,nan,nan,2372,Follow the Rules,nan,Monty tries to change the rules of a board game when Jimmy Jones keeps beating him.,8.0,1.0,2016-06-29,nan,1
1632,nan,Charles Regnier,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,336,nan,Koji Kataoka,nan,nan,nan,nan,guestStars,0
2502,nan,National Film Board of Canada,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CA,152,Episode 6,nan,nan,6.0,1.0,2015-07-21,nan,0
48,nan,Sylvia Pyke,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5203,Animal Barber,nan,"Mike first visits Terressentials where natural organic hair care products are made out of mud. He then returns to Montana to do some more work with big animal vet Charlene Esch. Finally, Mike joins forces with the yak and bison rancher who put him to work in his 150th Dirty Job. ",14.0,4.0,2008-06-09,nan,0
894,nan,Pedro Tavares,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6593,Episode 2,nan,"Jandi gets Jihoo’s help when students attack her at the locker room. Jandi, cannot stand Junpyo’s smugness, goes to see Junpyo and kicks him right in the face. Rather than paying her back, Junpyo finds his curiosity from this girl who reminds him of his older sister, Junhee. After school finishes, unknown guards kidnap Jandi. She wakes up and notices the unbelievable things that are happening right in front of her eyes…",2.0,1.0,2009-01-06,nan,0
3849,Episode 7,nan,"The team investigate the murder of a man whose body is discovered shortly after he is reported missing by his son is discovered. Rachel's self-destructive behavior leads to a falling-out with Janet, and forces Sean to realize that his marriage is over.",7.0,3.0,nan,nan,nan,2013-05-22,nan,2013-01-01,nan,nan,nan,4844,nan,Floyd Herrington,nan,nan,nan,nan,guestStars,0
1929,nan,Brigitte Lin,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2597,nan,Kathryn Kelley,nan,nan,nan,nan,guestStars,0
3432,Romantics and Realists,nan,"This programme covers verse of the late Victorian period and the early twentieth century, with poems by Thomas Hardy, Gerard Manley, A.E. Houseman and Rudyard Kipling.",14.0,1.0,nan,nan,nan,1984-11-25,nan,1984-01-01,nan,nan,nan,2988,THE S-T-A– STAIRCASE,nan,"When JJ’s attempts to make a good impression on Izzy’s parents fail, he changes course to make a bad one instead. Maya is jealous when Melanie is the recipient of a public display of mom-love. Meanwhile, Kenneth leans on Jimmy for support after a tour of his alma mater reveals a few surprises.",21.0,3.0,2019-04-05,nan,0
5146,Pinstripes & Poltergeists,nan,"While the Monarch schemes to dispose of Dr. Venture once and for all, Henchman 21 seeks revenge on Brock for the death of 24.",8.0,4.0,nan,nan,nan,2009-12-13,nan,2009-01-01,nan,nan,nan,1338,nan,Alan Smithee,nan,nan,nan,nan,directors,0
1977,nan,Ward,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3688,nan,John Glover,nan,nan,nan,nan,guestStars,0
3447,nan,Jeff Miller,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,582,nan,Robert Weide,nan,nan,nan,nan,director,0
5858,nan,Del Baker,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,884,nan,David Attenborough,nan,nan,nan,nan,writers,0
293,Tears of a Sea Cow,nan,"The Monarch gets word that Dr. Venture and Brock are at a science conference, and decides to launch an attack on the Venture compound.",8.0,3.0,nan,nan,nan,2008-07-20,nan,2008-01-01,nan,nan,nan,7227,Texas Black Magic,nan,"A murder arranged by devoted Texas mother Dora Cisneros, who in 1993 hired a gunman through fortuneteller Maria Martinez to kill 18-year-old Joey Fischer, the former boyfriend who had spurned her daughter",2.0,2.0,2014-12-13,nan,0
5916,nan,Bojan Globan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4310,nan,Lennon Parham,nan,nan,nan,nan,guestStars,0
5142,Cave Biologist,nan,Mike Rowe works with a cave biologist and then braves the high seas in search of slime eels.,3.0,4.0,nan,nan,nan,2008-01-22,nan,2008-01-01,nan,nan,nan,7228,Mr Bigs,nan,"'Lennie McPherson controlled most of Sydney's organised crime activity for several decades, with his associate George Freeman. Lenny was born in the inner-Sydney suburb of Balmain in 1921, the tenth child of metalworker William McPherson and his wife Nellie. He had some schooling at Birchgrove Primary School and his first brush with the law came at the age of 11 when he was convicted of stealing. Eighteen months later he was convicted on two charges of stealing and sent to a detention centre where he was bashed and raped. He went on to a life of serious crime and was universally feared by his adversaries and often referred to as Sydney's ‘Mr Big’ of organised crime, protected by police who relied on his information to control the Sydney underworld. McPherson had been estranged from his mother for many years, but on her 70th birthday, he unexpectedly turned up at her flat, carrying a live rabbit. He demanded to know why he had not been invited to her birthday party, and when she admitted that it was because of his criminal activities, the furious McPherson tore the rabbit's head off, threw the still-twitching body at her feet and stormed off. He died of a heart attack in Cessnock Gaol in 1996, aged 75.George Freeman was king of Sydney’s SP bookies, and was involved with McPherson in massive money laundering operations on Sydney race tracks and the corruption of Sydney chief magistrate Murray Farquar. During the 1970s George Freeman, was shot with a .22 pistol. but survived, and less than six weeks later the man suspected of the shooting was himself shot dead in the driveway of his Coogee home. Freeman, who was holidaying in Noosa at the time, refused to answer questions on the matter.",7.0,4.0,2010-12-21,nan,0
2967,New Orleans,nan,Baz and the mammies head to New Orleans to undertake more death-defying challenges.,2.0,3.0,nan,nan,nan,2016-10-03,nan,2016-01-01,nan,nan,nan,6155,New Orleans,nan,Baz and the mammies head to New Orleans to undertake more death-defying challenges.,2.0,3.0,2016-10-03,nan,1
1072,nan,Pasha Ibrahimov,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7149,The Last Bullet,nan,"Nam Ok hides in a small town. However, it's not long until he gets surrounded by Jongno Police with over 250 men. He soon gets flushed out but manages to find refuge in the bell tower of a church. With only one bullet left, he refuses to surrender.",38.0,1.0,2019-07-06,nan,0
252,nan,Joshua I. Kolden,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,365,nan,Jonathan Brough,nan,nan,nan,nan,directors,0
5011,nan,Miljenko ?ipu?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2033,nan,Paavo Pylkk?nen,nan,nan,nan,nan,guestStars,0
3790,nan,Rene Tala,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7624,Anything For My Baby,nan,"The case of teenager Tabitha Messina, who with her partner Carlos Christopher attacked her father and his girlfriend with an axe and a crowbar after breaking into their house in September 2008. The pair then ransacked the property and escaped with two stolen vehicles",6.0,2.0,2015-01-10,nan,0
582,nan,Jiro Sato,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3290,nan,Laura Silverman,nan,nan,nan,nan,guestStars,0
19,C-H-O-CHOIR,nan,"It’s Christmas time at the DiMeos, and Maya surprises everyone by embracing a newfound holiday spirit. But her view is put to the test when the family van is stolen, along with all their holiday gifts. Worrying he won’t get into college, Ray joins the choir and gets a coveted solo. But when a very attractive new teacher is hired, JJ decides to join his brother and takes Ray’s solo.",10.0,1.0,nan,nan,nan,2016-12-14,nan,2016-01-01,nan,nan,nan,5908,People in Glass Houses Shouldn't Throw Fish,nan,"'In the Season 2 premiere, Mary Jane throws a dinner party; and invites a married couple whom she and David used to be ''couples friends'' with. She also re-examines what she wants out of life after learning that David's new girlfriend is pregnant.",1.0,2.0,2015-02-03,nan,0
2216,nan,Marne Braun,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3793,nan,Jacqui Allen,nan,nan,nan,nan,guestStars,0
2502,nan,National Film Board of Canada,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CA,407,nan,Allen Coulter,nan,nan,nan,nan,directors,0
3204,nan,Riho Iida,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6704,The Substance,nan,nan,31.0,0.0,2013-10-30,nan,0
6029,nan,Norman Kerry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1924,nan,Alan Wendl,nan,nan,nan,nan,guestStars,0
3029,nan,Kristen Connolly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4279,The Night's Alright,nan,"Even though it is bedtime, Monty and Jimmy Jones aren't tired and Monty wonders if the night is really just for sleeping.",16.0,1.0,2016-08-29,nan,0
5115,nan,Simon Otto,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6697,nan,Steven Dawn,nan,nan,nan,nan,guestStars,0
5638,D-A-T-E– DATE?,nan,"JJ meets a new girl at school, an injured gymnast, who must learn to adapt to school life in a wheelchair. JJ shows her the ropes and soon forms a crush. Elsewhere, Ray saves face by claiming a picture of his own nipple on his phone to be a ”sext” from his ”girlfriend.” The plan makes him a hero among the boys at school, but backfires after Maya learns the whole story. Meanwhile, Jimmy teaches Dylan how to properly deal with stress.",6.0,1.0,nan,nan,nan,2016-11-09,nan,2016-01-01,nan,nan,nan,2061,The cricket and the machine,nan,nan,8.0,1.0,nan,nan,0
2732,Grown-Up Wannabe,nan,"One morning, Kana and her besties witness Hijiri kissing a college student Toshio inside his car. Acting more mature than any of her classmates, Hijiri suggests Kana and her besties to do a photo shoot with Toshio.",2.0,3.0,nan,nan,nan,2018-09-15,nan,2018-01-01,nan,nan,nan,108,nan,Jeff Schaffer,nan,nan,nan,nan,directors,0
5982,Bone Black,nan,Mike visits a bone black plant in Michigan and then talks about his five dirtiest jobs.,6.0,6.0,nan,nan,nan,2010-02-09,nan,2010-01-01,nan,nan,nan,258,nan,Christopher McCulloch as Jackson Publick,nan,nan,nan,nan,directors,0
5223,nan,Franti?ek Filip,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,449,It's for You,nan,"'For Christmas, Gary recieves a phone line for his bedroom with the proviso that he doesn't ''''abuse the privilege.''''  Naturally, Gary immediately begins making prank calls, but he soon finds the tables turned when one of the people he called begins stalking him via telephone.  Gary pays the caller a visit and discovers Mrs. Emma Needham, an old lady who soon proves that she's not as nice she initially appeared...",11.0,3.0,1999-11-18,nan,0
1114,nan,Marian Araujo,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1593,nan,Sanjeev Bhaskar,nan,nan,nan,nan,actor,0
783,nan,Tom Owens,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4052,Our Friend Henger Forever,nan,"The Searchers discover an ancient city, perfectly preserved by Hengers. But, the robot caretakers are programmed to prevent anyone from entering it! When the Hengers take Holly's pendant, Genki and his friends must trust a malfunctioning Henger, who was banished from the city because of his free will, to find a way inside.",23.0,1.0,1999-11-29,nan,0
3319,nan,J. Pat O'Malley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,956,Pit Bull Sessions,nan,"Pembleton and Falsone look into the death of an elderly man who might have been killed by the pit bulls owned by his grandson. The other detectives hang out at the Waterfront and tell stories about stupid criminals they have met. The judge in the wrongful death suit of Luther Mahoney decides there is enough evidence to turn the suit into a jury trial. Kellerman suspects there might be something up, so he tries to go and see the judge.",15.0,6.0,1998-03-13,nan,0
4165,CIA: FAMILIES OF CRIME - 'Mr Bigs',nan,"'Lennie McPherson controlled most of Sydney's organised crime activity for several decades, with his associate George Freeman. Lenny was born in the inner-Sydney suburb of Balmain in 1921, the tenth child of metalworker William McPherson and his wife Nellie. He had some schooling at Birchgrove Primary School and his first brush with the law came at the age of 11 when he was convicted of stealing. Eighteen months later he was convicted on two charges of stealing and sent to a detention centre where he was bashed and raped. He went on to a life of serious crime and was universally feared by his adversaries and often referred to as Sydney's ‘Mr Big’ of organised crime, protected by police who relied on his information to control the Sydney underworld. McPherson had been estranged from his mother for many years, but on her 70th birthday, he unexpectedly turned up at her flat, carrying a live rabbit. He demanded to know why he had not been invited to her birthday party, and when she admitted that it was because of his criminal activities, the furious McPherson tore the rabbit's head off, threw the still-twitching body at her feet and stormed off. He died of a heart attack in Cessnock Gaol in 1996, aged 75.George Freeman was king of Sydney’s SP bookies, and was involved with McPherson in massive money laundering operations on Sydney race tracks and the corruption of Sydney chief magistrate Murray Farquar. During the 1970s George Freeman, was shot with a .22 pistol. but survived, and less than six weeks later the man suspected of the shooting was himself shot dead in the driveway of his Coogee home. Freeman, who was holidaying in Noosa at the time, refused to answer questions on the matter.",7.0,4.0,nan,nan,nan,2010-12-21,nan,2010-01-01,nan,nan,nan,3054,nan,BBC One,nan,nan,nan,nan,nan,0
1209,Thank You for Your Service,nan,"Larry commits a faux pas with Sammi’s fianc?, and tries to start over with his mail carrier and golf club security guard.",5.0,9.0,nan,nan,nan,2017-10-29,nan,2017-01-01,nan,nan,nan,6799,Scott & Bailey,nan,A thrilling crime drama exploring the personal and professional lives of two female detectives.,nan,nan,2011-05-29,nan,0
4060,nan,Leonid Kuravlyov,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1287,Episode 27,nan,nan,27.0,2.0,2017-09-16,nan,0
1111,nan,Mark Beesley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,895,nan,Rich Fulcher,nan,nan,nan,nan,guestStars,0
231,Gone Fishin'/A Little Body of Work,nan,"'In ''Gone Fishin','' Randy seems to find his uncle's fishing hobby distasteful, but Uncle Ned claims that ''if you take the bait, you pay the price'' -- a lesson that Ned's soon to learn from the fish.In ''A Little Body of Work,'' Eddie and Herman challenge Kevin to a race in the Mustang he's rebuilding.  The hoodlums go to great lengths to win the race, only to have their devious plan revealed by Kevin's Mustang.",4.0,1.0,nan,nan,nan,1993-10-09,nan,1993-01-01,nan,nan,nan,4087,Something Sacred (1),nan,"Kellerman is trying to find Lewis, who's disappeared since his suspension. Bayliss is on vacation. Stivers rotates into homicide and Kellerman isn't happy to see her. A priest is found murdered. Falsone attends a custody deposition hearing. A tape is delivered to Channel 11 that contains some startling information from a Swami about the priest's activities involving young boys. Munch and Kellerman seek out the two boys who were at the scene of the crime; meanwhile the other detectives seek out the Swami. Both are located, though the boys do not provide anything conclusive; they are held in protective custody. Kellerman searches for Lewis. Meanwhile, church members protest in front of the station house. Falsone gets his son for a weekend. Ballard and Gharty detain a corner kid who might be identifiable as one of three who had frightened a priest. Unfortunately, that priest (a monsignor) can't make a positive ID. Because of public pressure, the boys are released from custody to stay with",12.0,6.0,1998-01-30,nan,0
5407,The Greenough Family Massacre,nan,"'The small hamlet of Greenough, near Geraldton, in Western Australia, some 400 kilometres north of Perth, will forever be associated with one the most horrific murders in Australian criminal history.In 1993, Karen MacKenzie and her three small children were violently murdered at their isolated house. The brutal and random nature of the attack was eerily similar to ''In Cold Blood'', Truman Capote's world-famous study of a family murder in an isolated house in America.When the Greenough killer was finally tracked down, charged and convicted, much of the evidence was too horrific to be made public.",12.0,1.0,nan,nan,nan,2007-11-13,nan,2007-01-01,nan,nan,nan,5661,nan,Mary Carole Curran,nan,nan,nan,nan,guestStars,0
5661,nan,Adult Swim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,US,2295,Captain Butcher,nan,nan,19.0,2.0,1961-02-20,nan,0
1485,nan,Rachel Tyler,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,671,nan,Ron Goldstein,nan,nan,nan,nan,writers,0
5808,nan,C S R Anjaneyulu,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,393,The Moorhouse Horrors / The Call Girl Killing,nan,"We investigate the story of David and Catherine Birnie, Australia's most sadistic husband and wife killing team who tortured, raped and murdered four women in 1986.  We also look into the murder of Call Girl Roslyn Watson which had remained unsolved for more than 15 years and would have stayed that way if it wasn't for the tenacious efforts of a bright young Western Australian Police Detective. ",6.0,1.0,2005-08-01,nan,0
2668,nan,Bryan Gordon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1021,nan,Ken Kramer,nan,nan,nan,nan,guestStars,0
3207,nan,Jean-Fran?ois Poron,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2995,nan,Patricia Hodge,nan,nan,nan,nan,guestStars,0
2863,nan,Salvatore Cascio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5612,nan,Terry Kinney,nan,nan,nan,nan,guestStars,0
3308,The Incredible Kazoops,nan,"Monty discovers he is the only one in the family who can't whistle, but wonders if with practice you can perfect anything.",26.0,1.0,nan,nan,nan,2016-09-12,nan,2016-01-01,nan,nan,nan,4809,nan,Charles Matheny,nan,nan,nan,nan,guestStars,0
2718,nan,Mark Ravenhill,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6671,How I Got My Camp,nan,"The Doonans plan a holiday abroad but a plumbing disaster spoils everything. Meanwhile across the road, Kylie's father meets his match in the form of a snarling dog called Madonna. Warning: contains Bette Midler impersonations and a replica Eiffel Tower.",4.0,2.0,2009-12-04,nan,0
4280,James Franco,nan,"Zach Galifianakis sits down with James Franco to have a normal, everyday, run of the mill interview.",16.0,1.0,nan,nan,nan,2013-05-08,nan,2013-01-01,nan,nan,nan,6744,nan,Per Eggers,nan,nan,nan,nan,guestStars,0
