tableA_id,tableA_title,tableA_modelno,tableA_price,tableA_shipweight,tableA_brand,tableA_dimensions,tableB_id,tableB_title,tableB_modelno,tableB_price,tableB_shipweight,tableB_brand,tableB_dimensions,label
2076,Ampad Spiral Steno Book Gregg Rule 6 Canary 70 Sheets,25473,5.15,0.517,Ampad,nan,18297,New-Ampad 25473 - Spiral Steno Book Gregg Rule 6 x 9 Canary 100 Sheets - AMP25473,nan,18.0,1.2,Ampad,nan,1
2401,Amzer Luxe Argyle High-Gloss Skin Case for Samsung GALAXY Smoke Gray,89721,14.88,7.0,AMZER,13.0 x 8.0 x 8.0 inches,16985,New-TOPS 25331 - Royale Business Hardcover Notebook College Rule 8 x 10-1 2 White 96 Sheets - TOP25331,nan,25.0,3,Tops,nan,0
4,StarTech.com RKPW247015 24 Outlet Power Strip,RKPW247015,59.0,5.25,StarTech,72.5 x 2.5 x 1.5 inches,12240,Kyocera Clip S2100 payLo Prepaid Phone Virgin Mobile,Clip,29.99,9.6,Kyocera,4.3 x 1.7 x 0.5 inches,0
2321,SVAT TWR301-C Hi-Res Indoor Outdoor Night Vision CCD Security Camera,TWR301-C,54.82,2.1,SVAT Electronics,4.5 x 4.5 x 2.5 inches,8299,Belkin F8B024 8-Inch Velcro Cable Ties,F8B024,3.99,1,Belkin,9.0 x 4.2 x 0.2 inches,0
2492,Scosche 4  Speaker Adapter,SA41069,29.88,0.72,Scosche,10.5 x 6.5 x 3.0 inches,6316,Apple iPod nano 8 GB Purple 5th Generation OLD MODEL,MC034LL/A,nan,1,Apple,4.1 x 2.2 x 1.8 inches,0
1780,Tyvek Expansion Mailer,R4202,38.94,1.037,nan,nan,18839,PHILIPS SHE3582 28 COLORFUL IN-EAR CANDY HEADPHONES BLUE,nan,13.58,2.9,Philips,nan,0
1980,Sony MDRAS30G Sport Headphones - Behind The Neck,MDRAS30G,19.88,0.45,Sony,9.2 x 7.2 x 2.0 inches,7855,Intermatic T104 208-277-Volt DPST 24 Hour Mechanical Time Switch,T104,50.98,2.6,Intermatic,8.0 x 5.3 x 3.1 inches,0
588,Mionix NAOS 5000 Laser Gaming Mouse,000MIO5000M,89.96,1.0,Mionix,9.0 x 7.0 x 3.0 inches,14455,Cobra MicroTalk CTX125 16-Mile 22-Channel FRS GRMS Two-Way Radio,CXT125,28.43,1,Cobra,5.0 x 2.0 x 1.5 inches,0
1316,Case Logic 208 Capacity Nylon CD DVD Wallet,87974,19.99,2.04,Case Logic,13.25 x 12.0 x 2.75 inches,4506,Case Logic BNB-208 208 Capacity CD DVD Prosleeve Nylon Binder Black,BNB-208,23.99,3,Case Logic,11.6 x 5.4 x 1.5 inches,1
1206,BIC Triumph 537RT Retractable Gel Pen 0.7mm Blue 1-Dozen,RTR5711-BLU,16.99,0.35,BIC,6.0 x 2.75 x 1.31 inches,1973,Travel Themed Checkpoint Friendly Pouch Sleeve Sack Red to Protect the Toshiba Satellite T135-S1305 TruBrite 13.3 Ultrathin Laptop,nan,9.21,nan,PPnBB,nan,0
1667,AMD 100-505551 FirePro V3700 Graphics Card,100-505551,91.92,1.15,AMD,10.35 x 9.0 x 2.592 inches,565,Cooler Master 4 in 3 HDD Module Device - STB-3T4-E3-GP,STB-3T4-E3-GP,24.84,2,Cooler Master,2.8 x 2.4 x 2.0 inches,0
1337,Kroo iPad iCap Black,11929,28.88,1.0,Kroo,12.0 x 10.0 x 1.5 inches,6598,iVina BulletScan M40 Mobile Color Photo Scanner M401040,M40,49.99,2,BulletScan,9.8 x 7.1 x 4.0 inches,0
2140,HTC Sensation 4G,610214626400,0.0,nan,Generic,6.496 x 3.641 x 2.02 inches,4575,Buffalo Technology Nfiniti Wireless-N Dual Band Ethernet Converter Access Point and Bridge WLAE-AG300N,WLAE-AG300N,59.82,2,Buffalo Technology,4.0 x 2.8 x 1.6 inches,0
822,Da-Lite Da-Glas Standard Rear Projection Screen 81 x 108 Video Format,27917,5391.99,1005.0,Da-Lite,nan,21202,New-Executive Notebook College Margin Rule 9-1 4x7-1 Case Pack 2 - 443222,nan,32.0,1.8,Blue line,nan,0
170,Tribeca University of Alabama iPad Slip Sleeve,FVA2344,28.0,0.35,Tribeca,11.4 x 8.3 x 0.7 inches,88,Mini Printer Server with 1 USB 2.0 Port,FPS-1032,28.47,2,CP Technology,7.0 x 4.2 x 2.0 inches,0
397,Iomega 2TB Ego Desktop USB 2.0 Portable Hard Drive - Midnight Blue,34822,122.98,3.0,Iomega,9.0 x 6.0 x 2.5 inches,17218,Pinnacle Studio Ultimate Collection v.15,82103002401,99.99,1.2,AVID,nan,0
1219,Cyber Power PFC 1350VA LCD Sinewave Adaptive Intelligent UPS,CP1350PFCLCD,193.45,23.15,CyberPower,17.2 x 12.7 x 6.2 inches,10133,Sony DVP-FX970 9-Inch Portable DVD Player,DVP-FX970,122.54,4,Sony,8.7 x 6.8 x 1.7 inches,0
1345,Innovera Softskin Gel Wrist Rest Black,51452,11.25,0.382,INNOVERA,nan,21350,VideoSecu Low Profile Ultra Slim TV Wall Mount for 27 -46 LCD LED Plasma Flat Panel Screen Display MP248B A11,MP248B,19.99,10,VideoSecu,nan,0
1922,Avery Postage Meter Labels for Personal Post Office E700 1-3 16 x 6 White 60 Pack,5289,9.54,0.219,Avery,nan,2556,Clover Electronics CA100Y 100-Feet Power and Video RCA Cable - Small Black,CA100Y,16.77,2,Clover,10.0 x 7.0 x 1.5 inches,0
1498,VisionTek Radeon HD6770 1GB GDDR5 Graphics Card,900368,145.0,1.65,Visiontek,10.5 x 8.5 x 2.75 inches,17181,MIDLAND XTA107 ACTION CAMERA MOUNT HAT VISOR,nan,nan,7,Midland,nan,0
2277,Mutant MIG-PS1-3 Media Yo Yo Amplified Speaker White,MIG-PS1-3,14.88,1.0,Mutant,5.0 x 4.0 x 2.0 inches,4447,Raptor-Gaming H3 7.1 USB,nan,66.13,nan,Raptor-Gaming,nan,0
327,Da-Lite 40184 Model B Manual Wall and Ceiling Projection Screen,40184,47.84,15.0,Da-Lite,61.875 x 4.5 x 4.275 inches,2370,Jabra Biz 2400 Mono St Cord Headset Premium Omni Mic,2403-320-105,nan,1,Jabra,7.8 x 5.8 x 3.0 inches,0
2525,Genius Agama M-300 Retractable Mini Mouse - Optical - USB - Black,31010615100,10.0,1.0,Genius,7.3 x 4.4 x 2.8 inches,12466,DeLorme Earthmate PN Series Power Kit,AG-8097-000,49.99,1,DeLorme,11.0 x 8.5 x 1.0 inches,0
889,Logitech Wireless Mouse M310 Bundle,nan,29.88,nan,nan,nan,9088,Green Onions Supply RT-SPF10141W M Anti-Glare Screen Protector for 14.1-Inch Laptop LCD screen -1 Piece Transparent,RT-SPF10141W/M,29.88,1,Green,12.5 x 9.4 x 0.1 inches,0
687,StarTech.com PEX1P 1 Port PCIe DP Parallel Adapter Card,PEX1P,32.88,0.3,StarTech,6.02 x 5.04 x 1.06 inches,20212,StarTech.com 1-Port PCI Express Dual Profile Parallel Adapter Card - SPP EPP ECP PEX1P,PEX1P,26.99,1,StarTech,6.7 x 5.5 x 1.2 inches,1
2337,EDGE Tech DiskGO 500GB External SuperSpeed USB 3.0 Hard Drive,PE227821,70.98,3.1,Edge Tech,7.6 x 4.45 x 1.45 inches,12474,Da-Lite - Projection screen repair kit,nan,348.99,10,Da-Lite,nan,0
689,Draper Glass Beaded Signature Series E Electric Screen  - HDTV 133 diagonal,111374,2375.95,178.0,Draper,nan,20034,BIC Ultimates Ball Pen Medium Point 1.0mm Black 18 Pens GSMGAP18-Blk,GSMGAP18-Blk,5.39,4,BIC,7.5 x 4.1 x 1.3 inches,0
1873,TDK 5-Pack 2.4x DVD R DL,48629,13.98,0.95,TDK,5.5 x 5.0 x 2.0 inches,16620,TP-Link RT TD-8840T 4 Ethernet Port,TD-8840T,22.95,2,TP-Link,6.5 x 4.3 x 1.1 inches,0
521,Draper IRUS Rear Projection Screen with No Frame - 100 diagonal NTSC Format,125130,3380.95,224.0,Draper,nan,14172,StarTech.com PAC1016 6 feet Power Cord Extension - NEMA 5-15R to NEMA 5-15P,PAC1016,6.99,1,StarTech,10.0 x 5.5 x 1.0 inches,0
74,Cables To Go Digital Audio Explorer Toslink Selector Switch,28734,24.88,0.68,Cables To Go,6.52 x 6.52 x 1.8 inches,12305,Avery White CD Labels for Laser Printers 40 Disc Labels and 80 Spine Labels 5692,5692,11.64,9.6,Avery,12.1 x 9.3 x 0.2 inches,0
1333,Draper AT Grey Access MultiView Series E Acoustically Transparent Screen - 109 diagonal Widescreen Format,106062,4375.95,96.0,Draper,nan,17408,New-Oxford 55801 - Clear Front Report Cover Tang Clip Letter 1 2 Capacity Blue 25 Box - ESS55801,nan,55.0,4.2,Oxford,nan,0
1564,Incipio Smart Feather for Apple iPad 2 Light Blue,IPAD-227,33.25,1.0,INCIPIO,9.5 x 7.5 x 0.2 inches,7084,Gear Head SD Series USB 2.0 5-In-One Card Reader CR6800,CR6800,7.01,1,Gear Head,6.5 x 5.6 x 1.7 inches,0
1899,Panasonic KX-FATC506 High Yield Cyan Toner Cartridge,KX-FATC506,89.84,0.88,Panasonic,13.7 x 2.3 x 1.6 inches,18890,Scosche SS65 1-Inch Universal for 5 -Inch or 6 -Inch Speaker Spacer,SS65,6.88,1,Scosche,13.0 x 7.2 x 1.5 inches,0
789,HP 80 Magenta 175-ml Ink Cartridge C4874A,HPC4874A,84.88,0.95,HP,8.7 x 4.6 x 2.2 inches,779,Lowrance Mark-5x 5-Inch Waterproof Fishfinder,000-00100-001,159.0,3,Lowrance,10.0 x 9.0 x 5.0 inches,0
2467,US Brown Bear Full Motion Series Medium Dual Arm Mount for 23 - 37 Displays in Silver,nan,59.99,10.1,US Brown Bear,17.0 x 16.0 x 3.62 inches,11289,Vanguard PRO Bag 80 for Tripods with Folded Length less than 30 1 8 Inches,PRO bag 80,29.95,1,Vanguard,15.0 x 9.6 x 2.2 inches,0
429,Western Digital 2TB My Book Studio Edition II External Hard Drive,WDH2Q20000N,199.0,6.16,Western Digital,9.0 x 9.0 x 8.5 inches,17694,Corel Paintshop Photo Pro X3 Software,nan,48.0,4.8,Corel,nan,0
2096,Inland Titan Pro Rolling Notebook Case,IPI02453,47.88,17.0,Inland,15.94 x 11.8 x 2.99 inches,10605,Buffalo Technology DriveStation Axis 2 TB USB 3.0 Desktop External Hard Drive with Buffalo Tools HD-LB2.0TU3 Black,HD-LB2.0TU3,101.97,3,Buffalo Technology,7.5 x 4.8 x 1.5 inches,0
564,BIC Brite Liner Highlighter Chisel Tip Pink 1-Dozen,BL11-PNK,5.88,0.29,BIC,5.5 x 2.75 x 1.31 inches,3124,Griffin iFM Dock Connector  FM Radio and Wired Remote Control for iPod,9125-IFM30,9.99,1,Griffin Technology,2.0 x 1.3 x 0.5 inches,0
2176,Draper M1300 Clarion Fixed Frame Screen - 124 x 124 diagonal AV Format,252007,1724.99,48.0,Draper,nan,6476,Cooler Master Centurion 534 Plus ATX Mid Tower Case with 460W Power Supply Black - RC-534-KKRB-GP,RC-534-KKRB-GP,76.99,25,Cooler Master,18.9 x 17.1 x 7.9 inches,0
833,AT T 1739 Adjunct Answering Machine System,1739,16.46,1.1,AT T,5.71 x 4.94 x 2.4 inches,16906,MAXSA INNOVATIONS 47774 SOLAR MARKER LIGHT BLUE,nan,16.0,1.1,Sharp,nan,0
1860,Chicago White Sox Pink iPhone 4 Hard Case,FVA4556,29.99,nan,Tribeca,nan,21082,Smead 25010 - Colored File Folders Straight Cut Reinforced End Tab Letter Blue 100 Box,nan,26.16,8,Smead,nan,0
