tableA_id,tableA_title,tableA_authors,tableA_venue,tableA_year,tableB_id,tableB_title,tableB_authors,tableB_venue,tableB_year,label
925,The DEDALE System for Complex Spatial Queries,"Luc Segoufin, Philippe Rigaux, St?phane Grumbach",SIGMOD Conference,1998,14451,ContextMetrics/sup/spl trade//: semantic and syntactic interoperability in cross-border trading,C Jovellanos,"Data Engineering, 2004. Proceedings. 20th International",nan,0
1736,An Extensible Notation for Spatiotemporal Index Queries,"Richard T. Snodgrass, Vassilis J. Tsotras, Christian S. Jensen",SIGMOD Record,1998,15239,Classifying Managerial Responses to Multiple Organizational Identities,"MG Pratt, PO Foreman",nan,nan,0
2062,The Evolution of the Web and Implications for an Incremental Crawler,"Junghoo Cho, Hector Garcia-Molina",VLDB,2000,4447,"The Evolution of the Web and Implications for an Incremental Crawler. September, 2000","J Cho, H Garcia-Molina",26th Intl. Conf. on Very Large,nan,1
400,RETINA: A REal-time TraffIc NAvigation System,"Edward Chan, Tei-Wei Kuo, S. W. Ng, Dick Hung, Kam-yiu Lam",SIGMOD Conference,2001,53937,Surgery for complete rectal prolapse in adults,"P Bachoo, M Brazzelli, A Grant","Cochrane Database Syst Rev,",2000.0,0
1356,Supporting Multiple View Maintenance Policies,"Latha S. Colby, Kenneth A. Ross, Akira Kawaguchi, Daniel F. Lieuwen, Inderpal Singh Mumick",SIGMOD Conference,1997,47511,Semantic Video Transcoding for Live Video Server,"R Cucchiara, C Grana, A Prati","Proc. of ACM Multimedia,",nan,0
993,TAM: A System for Dynamic Transactional Activity Management,"Ling Liu, Calton Pu, Tong Zhou",SIGMOD Conference,1999,13103,The application environment,"J Darling, A Sauvage","BT Technology Journal,",2005.0,0
1239,User-oriented smart-cache for the Web: What You Seek is What You Get!,"Arnaud Sahuguet, Raman Chandrasekar, Zo? Lacroix",SIGMOD Conference,1998,8010,Speeding up the Similarity Search in Multimedia Database.,"T Chen, M Nakazato, TS Huang",nan,nan,0
577,Adaptive Multi-Stage Distance Join Processing,"Sukho Lee, Bongki Moon, Hyoseop Shin",SIGMOD Conference,2000,53839,The Bush Foundation's Faculty Development Projects.,H Doermann,"New Directions for Teaching and Learning,",1990.0,0
13,Approximate query mapping: Accounting for translation closeness,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",VLDB J.,2001,58959,Scheduling in multiprogrammed parallel systems,"S Majumdar, DL Eager, RB Bunt","Proceedings of the 1988 ACM SIGMETRICS conference on  &hellip;,",1988.0,0
68,Editor's Notes,Ling Liu,SIGMOD Record,2002,28457,Logic Aided Lamarckian Evolution,E Lamma,nan,nan,0
2180,The Zero Latency Enterprise,Dave Liles,VLDB,2000,44173,Verifying the correctness of hume programs: an approach combining deductive and algorithmic,G Grov,"Proceedings of the 20th IEEE/ACM international Conference on &hellip;,",2005.0,0
